donor_id,locality_tier,house_type,donation_2023,donation_2024,donation_2025,consistency_score,preferred_mode,earning_members,target_2026
DN-10029,TIER_2,APARTMENT_FLAT,1400,1450,1650,1.0,CASH,2,1800
DN-10030,TIER_2,COMMERCIAL_SHOP,2150,2400,2700,0.9,CASH,2,3000
DN-10031,TIER_2,APARTMENT_FLAT,2000,2100,2200,1.0,UPI,1,2400
DN-10032,TIER_2,COMMERCIAL_SHOP,1200,1350,1550,1.0,CASH,4,1750
DN-10033,TIER_2,APARTMENT_FLAT,950,1050,1150,0.7,CASH,4,1200
DN-10034,TIER_2,COMMERCIAL_SHOP,2050,0,2300,0.7,CASH,2,2350
DN-10035,TIER_1,APARTMENT_FLAT,2400,2550,2800,0.7,UPI,1,2850
DN-10036,TIER_1,APARTMENT_FLAT,4100,4250,4800,0.9,CASH,4,5200
DN-10037,TIER_2,COMMERCIAL_SHOP,1800,2000,2250,1.0,CASH,4,2550
DN-10038,TIER_1,APARTMENT_FLAT,2150,2300,2500,1.0,CASH,3,2800
DN-10039,TIER_1,INDEPENDENT_HOUSE,3400,3750,4200,1.0,CASH,1,4450
DN-10040,TIER_2,INDEPENDENT_HOUSE,1450,1600,0,0.7,CASH,2,1600
DN-10041,TIER_1,INDEPENDENT_HOUSE,3650,4050,4550,1.0,UPI,2,4750
DN-10042,TIER_3,APARTMENT_FLAT,1900,2050,2350,0.9,CASH,3,2700
DN-10043,TIER_2,APARTMENT_FLAT,0,4100,4500,0.9,UPI,2,5000
DN-10044,TIER_1,INDEPENDENT_HOUSE,4550,4900,5300,1.0,UPI,2,5700
DN-10045,TIER_1,COMMERCIAL_SHOP,3200,0,3600,0.9,UPI,3,4050
DN-10046,TIER_2,APARTMENT_FLAT,1450,1600,1750,1.0,CASH,2,1950
DN-10047,TIER_1,INDEPENDENT_HOUSE,2800,0,3000,0.9,CASH,4,3300
DN-10048,TIER_2,CLINIC_PROFESSIONAL,2700,2800,3000,1.0,CASH,1,3350
DN-10049,TIER_3,APARTMENT_FLAT,500,550,600,1.0,CASH,1,650
DN-10050,TIER_1,COMMERCIAL_SHOP,4900,5400,5900,1.0,CASH,3,6500
DN-10051,TIER_1,APARTMENT_FLAT,2450,2600,2750,1.0,UPI,1,2850
DN-10052,TIER_2,APARTMENT_FLAT,1350,1450,1650,1.0,CASH,1,1750
DN-10053,TIER_2,APARTMENT_FLAT,0,1600,1800,0.7,CASH,2,1750
DN-10054,TIER_2,COMMERCIAL_SHOP,1450,1550,1800,1.0,CASH,2,2050
DN-10055,TIER_2,APARTMENT_FLAT,1400,1600,1800,1.0,CASH,2,1950
DN-10056,TIER_2,COMMERCIAL_SHOP,1900,2050,2200,1.0,CASH,1,2400
DN-10057,TIER_2,APARTMENT_FLAT,2550,2800,3000,1.0,CASH,3,3250
DN-10058,TIER_1,CLINIC_PROFESSIONAL,2800,3200,3500,1.0,UPI,3,3950
DN-10059,TIER_3,INDEPENDENT_HOUSE,850,900,950,0.9,CASH,1,1000
DN-10060,TIER_1,APARTMENT_FLAT,900,1000,1100,1.0,UPI,2,1200
DN-10061,TIER_1,APARTMENT_FLAT,4350,4650,5300,1.0,UPI,3,5650
DN-10062,TIER_2,COMMERCIAL_SHOP,0,1650,1850,0.9,CASH,4,2000
DN-10063,TIER_3,INDEPENDENT_HOUSE,1750,1950,2150,1.0,CASH,4,2300
DN-10064,TIER_2,APARTMENT_FLAT,1100,1250,0,0.7,CASH,1,1200
DN-10065,TIER_2,APARTMENT_FLAT,700,750,850,0.7,CASH,1,850
DN-10066,TIER_2,APARTMENT_FLAT,1200,1350,1500,1.0,UPI,1,1650
DN-10067,TIER_2,APARTMENT_FLAT,850,950,1050,1.0,CASH,4,1150
DN-10068,TIER_1,APARTMENT_FLAT,5900,6700,7550,1.0,CASH,2,8450
DN-10069,TIER_2,APARTMENT_FLAT,1650,1800,2000,1.0,CASH,3,2150
DN-10070,TIER_1,APARTMENT_FLAT,4350,4900,5400,1.0,UPI,3,5700
DN-10071,TIER_3,INDEPENDENT_HOUSE,0,2350,0,0.7,UPI,3,2450
DN-10072,TIER_3,COMMERCIAL_SHOP,800,900,1000,1.0,CASH,1,1050
DN-10073,TIER_2,COMMERCIAL_SHOP,4650,5050,5650,1.0,UPI,1,5900
DN-10074,TIER_1,APARTMENT_FLAT,5300,6000,6750,1.0,UPI,1,7300
DN-10075,TIER_3,APARTMENT_FLAT,1350,1450,1600,0.7,CASH,2,1700
DN-10076,TIER_1,INDEPENDENT_HOUSE,8850,10050,10900,0.9,CASH,4,11550
DN-10077,TIER_1,INDEPENDENT_HOUSE,2400,0,2750,0.7,UPI,2,2700
DN-10078,TIER_2,INDEPENDENT_HOUSE,2300,2450,2700,1.0,UPI,3,2800
DN-10079,TIER_2,APARTMENT_FLAT,1300,1450,1600,1.0,CASH,3,1650
DN-10080,TIER_3,APARTMENT_FLAT,1250,1300,1450,1.0,CASH,2,1600
DN-10081,TIER_2,APARTMENT_FLAT,2400,2700,2900,1.0,CASH,3,3100
DN-10082,TIER_2,APARTMENT_FLAT,1300,1350,1500,1.0,CASH,1,1550
DN-10083,TIER_2,APARTMENT_FLAT,2000,2250,2500,1.0,CASH,4,2700
DN-10084,TIER_2,INDEPENDENT_HOUSE,750,800,900,1.0,CASH,4,1000
DN-10085,TIER_1,COMMERCIAL_SHOP,4250,4550,4800,0.9,CASH,2,5200
DN-10086,TIER_2,CLINIC_PROFESSIONAL,3150,3400,3750,1.0,CASH,1,4200
DN-10087,TIER_2,INDEPENDENT_HOUSE,2550,2850,3100,0.9,UPI,3,3450
DN-10088,TIER_2,APARTMENT_FLAT,2000,2250,2400,1.0,CASH,4,2500
DN-10089,TIER_2,APARTMENT_FLAT,4650,4850,5550,0.9,CASH,3,6100
DN-10090,TIER_1,APARTMENT_FLAT,3250,3500,3850,0.7,UPI,2,3750
DN-10091,TIER_2,INDEPENDENT_HOUSE,1850,1950,2100,0.9,CASH,1,2200
DN-10092,TIER_1,INDEPENDENT_HOUSE,1850,2050,2250,0.9,CASH,4,2500
DN-10093,TIER_1,CLINIC_PROFESSIONAL,2250,2500,2700,1.0,UPI,1,2950
DN-10094,TIER_1,COMMERCIAL_SHOP,9250,10150,0,0.7,CASH,2,10650
DN-10095,TIER_1,APARTMENT_FLAT,3300,3550,3900,1.0,UPI,3,4150
DN-10096,TIER_3,APARTMENT_FLAT,600,650,700,0.7,CASH,2,700
DN-10097,TIER_2,APARTMENT_FLAT,0,1250,1350,0.7,CASH,4,1350
DN-10098,TIER_2,INDEPENDENT_HOUSE,1100,1250,1300,1.0,CASH,2,1350
DN-10099,TIER_1,INDEPENDENT_HOUSE,2400,2500,0,0.7,UPI,4,2600
DN-10100,TIER_1,APARTMENT_FLAT,2600,2900,3150,1.0,UPI,2,3500
DN-10101,TIER_3,APARTMENT_FLAT,550,650,750,0.9,UPI,4,850
DN-10102,TIER_3,APARTMENT_FLAT,750,800,900,1.0,CASH,4,950
DN-10103,TIER_3,INDEPENDENT_HOUSE,1700,1850,0,0.9,UPI,2,2000
DN-10104,TIER_3,APARTMENT_FLAT,500,500,550,1.0,UPI,3,550
DN-10105,TIER_2,INDEPENDENT_HOUSE,2250,2400,2650,0.9,CASH,2,2800
DN-10106,TIER_1,INDEPENDENT_HOUSE,3600,3950,4350,1.0,CASH,2,4500
DN-10107,TIER_1,APARTMENT_FLAT,4950,5400,6200,0.9,UPI,3,6700
DN-10108,TIER_1,APARTMENT_FLAT,1350,1400,1600,1.0,UPI,2,1700
DN-10109,TIER_3,INDEPENDENT_HOUSE,1800,2000,2250,0.9,CASH,2,2350
DN-10110,TIER_3,APARTMENT_FLAT,600,650,700,0.9,CASH,3,800
DN-10111,TIER_3,APARTMENT_FLAT,1250,1350,0,0.7,CASH,1,1400
DN-10112,TIER_2,CLINIC_PROFESSIONAL,2400,2650,2900,1.0,UPI,2,3250
DN-10113,TIER_2,APARTMENT_FLAT,1800,1950,2200,1.0,UPI,4,2300
DN-10114,TIER_2,APARTMENT_FLAT,1950,2050,2250,1.0,UPI,2,2350
DN-10115,TIER_2,APARTMENT_FLAT,1650,1800,2000,1.0,UPI,3,2150
DN-10116,TIER_1,APARTMENT_FLAT,1250,1400,1600,1.0,CASH,1,1750
DN-10117,TIER_2,INDEPENDENT_HOUSE,500,550,600,1.0,CASH,3,650
DN-10118,TIER_1,APARTMENT_FLAT,1250,1400,1550,1.0,CASH,2,1600
DN-10119,TIER_2,APARTMENT_FLAT,2800,3100,3550,0.9,UPI,1,4050
DN-10120,TIER_3,APARTMENT_FLAT,750,800,850,0.7,CASH,4,900
DN-10121,TIER_2,APARTMENT_FLAT,1700,1900,2150,1.0,CASH,1,2250
DN-10122,TIER_3,APARTMENT_FLAT,650,700,750,1.0,UPI,3,850
DN-10123,TIER_1,INDEPENDENT_HOUSE,4350,4800,5400,1.0,CASH,2,6150
DN-10124,TIER_2,APARTMENT_FLAT,1700,1950,2150,1.0,CASH,4,2400
DN-10125,TIER_2,INDEPENDENT_HOUSE,2350,2550,2800,1.0,CASH,1,3100
DN-10126,TIER_1,APARTMENT_FLAT,4150,4700,5300,1.0,UPI,4,5700
DN-10127,TIER_2,APARTMENT_FLAT,900,1000,1100,1.0,UPI,2,1150
DN-10128,TIER_2,APARTMENT_FLAT,2850,3000,3300,1.0,CASH,2,3600
DN-10129,TIER_3,APARTMENT_FLAT,600,650,700,1.0,CASH,2,750
DN-10130,TIER_2,CLINIC_PROFESSIONAL,950,1100,1250,0.9,CASH,2,1350
DN-10131,TIER_2,APARTMENT_FLAT,1000,1100,1200,0.9,UPI,3,1300
DN-10132,TIER_2,APARTMENT_FLAT,0,1850,2000,0.7,CASH,2,2000
DN-10133,TIER_2,APARTMENT_FLAT,550,600,650,1.0,CASH,2,700
DN-10134,TIER_2,APARTMENT_FLAT,1300,1400,1550,1.0,CASH,2,1650
DN-10135,TIER_1,INDEPENDENT_HOUSE,1950,2100,2300,0.9,CASH,4,2400
DN-10136,TIER_2,INDEPENDENT_HOUSE,4450,4850,5150,1.0,CASH,3,5400
DN-10137,TIER_2,INDEPENDENT_HOUSE,2700,0,3000,0.4,CASH,2,2650
DN-10138,TIER_2,COMMERCIAL_SHOP,2600,2950,3100,0.9,UPI,2,3400
DN-10139,TIER_1,CLINIC_PROFESSIONAL,3700,4000,4250,1.0,UPI,2,4600
DN-10140,TIER_2,INDEPENDENT_HOUSE,1600,1750,1900,0.9,UPI,2,2000
DN-10141,TIER_2,COMMERCIAL_SHOP,3400,3650,4050,1.0,UPI,2,4350
DN-10142,TIER_1,INDEPENDENT_HOUSE,2850,3000,3250,1.0,UPI,2,3450
DN-10143,TIER_2,APARTMENT_FLAT,2300,0,0,0.4,CASH,4,2000
DN-10144,TIER_3,INDEPENDENT_HOUSE,500,550,600,1.0,CASH,2,650
DN-10145,TIER_2,APARTMENT_FLAT,1650,1800,2000,0.7,CASH,2,1950
DN-10146,TIER_3,APARTMENT_FLAT,750,800,850,1.0,CASH,3,950
DN-10147,TIER_2,COMMERCIAL_SHOP,2300,2600,2750,1.0,CASH,3,3150
DN-10148,TIER_2,APARTMENT_FLAT,1500,1650,1750,1.0,UPI,1,1850
DN-10149,TIER_1,APARTMENT_FLAT,2650,2750,3000,1.0,CASH,1,3200
DN-10150,TIER_2,INDEPENDENT_HOUSE,2200,2450,2700,1.0,CASH,2,2900
DN-10151,TIER_3,APARTMENT_FLAT,1850,2050,2300,1.0,CASH,3,2450
DN-10152,TIER_2,APARTMENT_FLAT,1150,1250,1400,1.0,CASH,4,1600
DN-10153,TIER_2,APARTMENT_FLAT,1500,1600,1800,1.0,UPI,4,1950
DN-10154,TIER_2,COMMERCIAL_SHOP,3300,3550,0,0.9,UPI,1,4050
DN-10155,TIER_2,APARTMENT_FLAT,3000,3200,3450,0.7,CASH,2,3450
DN-10156,TIER_2,APARTMENT_FLAT,4350,4700,5050,1.0,UPI,4,5350
DN-10157,TIER_2,APARTMENT_FLAT,2900,3150,3500,1.0,UPI,3,3950
DN-10158,TIER_2,APARTMENT_FLAT,1350,1550,1750,1.0,UPI,1,1950
DN-10159,TIER_2,APARTMENT_FLAT,1800,1950,2150,0.9,CASH,3,2350
DN-10160,TIER_1,APARTMENT_FLAT,2100,2350,2700,0.9,UPI,4,3050
DN-10161,TIER_1,INDEPENDENT_HOUSE,3200,3450,3800,1.0,CASH,1,4200
DN-10162,TIER_2,COMMERCIAL_SHOP,2300,2450,2700,1.0,CASH,1,3050
DN-10163,TIER_3,COMMERCIAL_SHOP,1150,1250,1400,1.0,UPI,1,1550
DN-10164,TIER_1,COMMERCIAL_SHOP,6000,6400,7100,1.0,CASH,3,7750
DN-10165,TIER_2,INDEPENDENT_HOUSE,0,0,0,0.4,UPI,1,1750
DN-10166,TIER_1,APARTMENT_FLAT,3500,0,3800,0.9,CASH,3,4200
DN-10167,TIER_1,APARTMENT_FLAT,1900,2100,2350,0.9,UPI,1,2450
DN-10168,TIER_3,APARTMENT_FLAT,800,850,950,1.0,CASH,1,1050
DN-10169,TIER_1,APARTMENT_FLAT,2100,2300,2500,1.0,UPI,3,2650
DN-10170,TIER_1,INDEPENDENT_HOUSE,3300,3600,3950,0.9,UPI,3,4100
DN-10171,TIER_1,APARTMENT_FLAT,3350,3750,0,0.9,UPI,2,4000
DN-10172,TIER_2,INDEPENDENT_HOUSE,1550,1650,1850,0.9,UPI,2,2100
DN-10173,TIER_2,APARTMENT_FLAT,2000,2200,2350,0.9,CASH,3,2650
DN-10174,TIER_2,INDEPENDENT_HOUSE,1700,1850,2050,1.0,CASH,1,2200
DN-10175,TIER_2,APARTMENT_FLAT,2050,2300,2500,0.7,CASH,3,2650
DN-10176,TIER_3,APARTMENT_FLAT,850,950,1050,1.0,CASH,2,1150
DN-10177,TIER_1,INDEPENDENT_HOUSE,2850,3250,3500,1.0,UPI,3,3700
DN-10178,TIER_1,INDEPENDENT_HOUSE,3050,3300,3750,1.0,CASH,4,4100
DN-10179,TIER_1,APARTMENT_FLAT,1450,1600,0,0.4,UPI,2,1400
DN-10180,TIER_2,APARTMENT_FLAT,2050,2300,2500,1.0,UPI,3,2600
DN-10181,TIER_2,APARTMENT_FLAT,1450,1650,1850,1.0,CASH,1,2050
DN-10182,TIER_2,APARTMENT_FLAT,1400,1550,1700,1.0,CASH,2,1950
DN-10183,TIER_2,APARTMENT_FLAT,1750,1900,2000,1.0,CASH,3,2200
DN-10184,TIER_2,APARTMENT_FLAT,1350,1400,1500,1.0,CASH,3,1700
DN-10185,TIER_2,INDEPENDENT_HOUSE,1300,1450,1650,1.0,CASH,2,1750
DN-10186,TIER_1,CLINIC_PROFESSIONAL,2650,2800,3100,0.9,UPI,3,3450
DN-10187,TIER_1,INDEPENDENT_HOUSE,3300,3500,3800,1.0,CASH,4,4050
DN-10188,TIER_3,APARTMENT_FLAT,0,0,2200,0.9,CASH,2,2450
DN-10189,TIER_2,APARTMENT_FLAT,2600,2800,3200,1.0,UPI,2,3500
DN-10190,TIER_2,COMMERCIAL_SHOP,1600,1800,2000,1.0,CASH,3,2150
DN-10191,TIER_3,APARTMENT_FLAT,900,1000,1150,1.0,CASH,3,1250
DN-10192,TIER_1,COMMERCIAL_SHOP,0,0,0,0.4,CASH,2,5050
DN-10193,TIER_1,APARTMENT_FLAT,3700,4100,4600,1.0,UPI,1,4800
DN-10194,TIER_1,APARTMENT_FLAT,3050,3450,3650,0.9,UPI,1,3950
DN-10195,TIER_1,APARTMENT_FLAT,3200,3550,3750,1.0,UPI,2,4150
DN-10196,TIER_2,APARTMENT_FLAT,1300,1350,1500,1.0,UPI,2,1700
DN-10197,TIER_2,INDEPENDENT_HOUSE,1650,1750,1850,1.0,CASH,4,1950
DN-10198,TIER_2,APARTMENT_FLAT,0,1500,1650,0.7,CASH,2,1750
DN-10199,TIER_1,COMMERCIAL_SHOP,5000,5700,6000,1.0,UPI,1,6400
DN-10200,TIER_3,COMMERCIAL_SHOP,950,1050,1100,0.9,UPI,2,1150
DN-10201,TIER_3,INDEPENDENT_HOUSE,1350,1500,1650,1.0,CASH,3,1750
DN-10202,TIER_1,APARTMENT_FLAT,4000,4150,4500,0.9,UPI,2,5050
DN-10203,TIER_1,INDEPENDENT_HOUSE,4350,4550,4900,0.9,UPI,4,5450
DN-10204,TIER_2,APARTMENT_FLAT,1150,0,0,0.7,CASH,1,1200
DN-10205,TIER_1,COMMERCIAL_SHOP,4000,4550,5050,1.0,CASH,2,5450
DN-10206,TIER_1,COMMERCIAL_SHOP,3000,3200,3350,1.0,UPI,2,3800
DN-10207,TIER_2,APARTMENT_FLAT,2950,3300,3550,1.0,UPI,2,4050
DN-10208,TIER_2,APARTMENT_FLAT,1550,1700,1850,0.7,CASH,2,1950
DN-10209,TIER_1,APARTMENT_FLAT,1700,1900,2150,1.0,CASH,2,2400
DN-10210,TIER_2,APARTMENT_FLAT,900,1000,1100,1.0,CASH,2,1200
DN-10211,TIER_1,INDEPENDENT_HOUSE,2600,2750,3000,1.0,UPI,2,3300
DN-10212,TIER_2,APARTMENT_FLAT,1650,1750,1850,0.9,CASH,1,2000
DN-10213,TIER_2,INDEPENDENT_HOUSE,1600,0,0,0.4,UPI,2,1350
DN-10214,TIER_1,INDEPENDENT_HOUSE,3550,3700,4200,1.0,UPI,2,4800
DN-10215,TIER_3,APARTMENT_FLAT,600,650,700,1.0,CASH,1,750
DN-10216,TIER_2,APARTMENT_FLAT,750,850,950,1.0,CASH,3,1000
DN-10217,TIER_1,INDEPENDENT_HOUSE,7200,0,0,0.7,CASH,4,7250
DN-10218,TIER_2,APARTMENT_FLAT,1000,1100,1250,1.0,CASH,2,1350
DN-10219,TIER_3,INDEPENDENT_HOUSE,950,0,1100,0.9,UPI,3,1250
DN-10220,TIER_2,COMMERCIAL_SHOP,3050,3200,3650,1.0,CASH,3,3850
DN-10221,TIER_2,INDEPENDENT_HOUSE,1550,1700,1900,1.0,CASH,2,2000
DN-10222,TIER_1,INDEPENDENT_HOUSE,2900,3200,3550,1.0,UPI,2,3800
DN-10223,TIER_2,APARTMENT_FLAT,1100,1200,1350,1.0,UPI,2,1500
DN-10224,TIER_2,APARTMENT_FLAT,1350,1500,1600,1.0,UPI,4,1800
DN-10225,TIER_1,APARTMENT_FLAT,3250,3700,4200,0.7,UPI,2,4350
DN-10226,TIER_2,INDEPENDENT_HOUSE,1700,1900,2150,1.0,CASH,1,2350
DN-10227,TIER_3,APARTMENT_FLAT,850,950,1000,1.0,UPI,2,1050
DN-10228,TIER_1,APARTMENT_FLAT,2250,2450,2800,0.7,UPI,2,2950
DN-10229,TIER_1,APARTMENT_FLAT,0,0,0,0.4,UPI,2,1250
DN-10230,TIER_1,INDEPENDENT_HOUSE,1450,1600,1700,1.0,UPI,2,1800
DN-10231,TIER_3,APARTMENT_FLAT,500,550,600,1.0,CASH,1,650
DN-10232,TIER_1,APARTMENT_FLAT,2600,2800,3200,1.0,UPI,3,3500
DN-10233,TIER_3,APARTMENT_FLAT,1050,1150,1300,1.0,CASH,4,1450
DN-10234,TIER_2,APARTMENT_FLAT,2700,2850,3250,1.0,UPI,2,3700
DN-10235,TIER_3,INDEPENDENT_HOUSE,0,1950,2100,0.7,UPI,1,2150
DN-10236,TIER_2,APARTMENT_FLAT,900,1000,1100,1.0,UPI,4,1150
DN-10237,TIER_3,COMMERCIAL_SHOP,1250,1300,1450,1.0,CASH,2,1550
DN-10238,TIER_2,INDEPENDENT_HOUSE,1450,1650,1850,1.0,CASH,3,2000
DN-10239,TIER_2,APARTMENT_FLAT,1400,1600,1750,0.9,CASH,2,1800
DN-10240,TIER_1,APARTMENT_FLAT,1150,1200,1250,1.0,UPI,2,1350
DN-10241,TIER_1,COMMERCIAL_SHOP,6000,6450,6900,1.0,CASH,2,7400
DN-10242,TIER_3,INDEPENDENT_HOUSE,1200,1250,1350,1.0,UPI,4,1500
DN-10243,TIER_1,APARTMENT_FLAT,2150,2350,2550,0.9,CASH,2,2900
DN-10244,TIER_2,APARTMENT_FLAT,1250,1300,1450,1.0,CASH,4,1600
DN-10245,TIER_1,APARTMENT_FLAT,3000,3200,3650,1.0,CASH,2,4000
DN-10246,TIER_3,COMMERCIAL_SHOP,1700,1950,2150,0.9,CASH,4,2400
DN-10247,TIER_3,APARTMENT_FLAT,450,500,550,0.9,UPI,4,600
DN-10248,TIER_1,INDEPENDENT_HOUSE,3800,4100,4450,0.9,CASH,2,5000
DN-10249,TIER_2,APARTMENT_FLAT,1650,1800,1950,1.0,UPI,3,2050
DN-10250,TIER_2,APARTMENT_FLAT,1900,0,0,0.4,UPI,2,1650
DN-10251,TIER_2,APARTMENT_FLAT,1200,1300,1400,1.0,CASH,1,1550
DN-10252,TIER_1,APARTMENT_FLAT,1550,1750,1950,1.0,UPI,1,2000
DN-10253,TIER_2,INDEPENDENT_HOUSE,2200,2400,2700,0.9,UPI,4,2900
DN-10254,TIER_2,APARTMENT_FLAT,4250,4800,5250,1.0,UPI,2,5850
DN-10255,TIER_1,INDEPENDENT_HOUSE,1300,1400,1600,1.0,UPI,1,1750
DN-10256,TIER_2,APARTMENT_FLAT,2850,3000,3350,1.0,UPI,4,3700
DN-10257,TIER_1,APARTMENT_FLAT,2350,2450,2600,1.0,UPI,2,2750
DN-10258,TIER_3,CLINIC_PROFESSIONAL,950,1050,1100,1.0,UPI,4,1150
DN-10259,TIER_2,INDEPENDENT_HOUSE,2900,3100,3550,1.0,UPI,1,3850
DN-10260,TIER_3,COMMERCIAL_SHOP,1600,1800,1900,0.9,CASH,4,2150
DN-10261,TIER_1,APARTMENT_FLAT,1550,1700,1900,1.0,UPI,2,2050
DN-10262,TIER_1,APARTMENT_FLAT,6600,7300,7950,1.0,UPI,2,8250
DN-10263,TIER_2,APARTMENT_FLAT,1900,2000,0,0.7,CASH,2,2100
DN-10264,TIER_3,APARTMENT_FLAT,600,650,700,0.9,CASH,1,800
DN-10265,TIER_1,COMMERCIAL_SHOP,6600,7350,7950,1.0,UPI,4,8650
DN-10266,TIER_2,APARTMENT_FLAT,1600,1700,1900,0.9,UPI,4,2050
DN-10267,TIER_2,COMMERCIAL_SHOP,0,4850,5400,0.9,CASH,2,6100
DN-10268,TIER_3,APARTMENT_FLAT,800,900,1000,0.9,CASH,2,1100
DN-10269,TIER_2,INDEPENDENT_HOUSE,1100,1150,1250,1.0,CASH,2,1350
DN-10270,TIER_2,INDEPENDENT_HOUSE,850,950,0,0.9,UPI,4,1050
DN-10271,TIER_2,APARTMENT_FLAT,2650,3000,3200,1.0,CASH,4,3550
DN-10272,TIER_3,APARTMENT_FLAT,0,350,0,0.7,CASH,4,350
DN-10273,TIER_1,APARTMENT_FLAT,0,0,6150,0.7,UPI,2,6150
DN-10274,TIER_3,INDEPENDENT_HOUSE,800,900,1000,1.0,CASH,4,1100
DN-10275,TIER_1,COMMERCIAL_SHOP,1150,1250,1400,0.9,UPI,2,1500
DN-10276,TIER_1,INDEPENDENT_HOUSE,3400,3750,4000,1.0,UPI,4,4300
DN-10277,TIER_2,APARTMENT_FLAT,1150,1300,1400,1.0,CASH,4,1500
DN-10278,TIER_3,COMMERCIAL_SHOP,950,1050,1200,1.0,UPI,1,1300
DN-10279,TIER_1,INDEPENDENT_HOUSE,3550,3750,4050,1.0,UPI,2,4500
DN-10280,TIER_1,COMMERCIAL_SHOP,2100,2300,2600,1.0,UPI,4,2950
DN-10281,TIER_1,APARTMENT_FLAT,1400,1500,1650,1.0,UPI,4,1850
DN-10282,TIER_2,APARTMENT_FLAT,1350,1550,1650,1.0,CASH,1,1850
DN-10283,TIER_2,APARTMENT_FLAT,800,900,950,1.0,CASH,1,1050
DN-10284,TIER_1,CLINIC_PROFESSIONAL,3550,3850,4250,1.0,CASH,1,4750
DN-10285,TIER_2,INDEPENDENT_HOUSE,1750,1950,2150,1.0,UPI,3,2300
DN-10286,TIER_2,APARTMENT_FLAT,1250,1400,1600,1.0,UPI,2,1750
DN-10287,TIER_2,APARTMENT_FLAT,2100,2300,2550,1.0,UPI,4,2750
DN-10288,TIER_1,APARTMENT_FLAT,0,0,0,0.4,UPI,2,1650
DN-10289,TIER_1,INDEPENDENT_HOUSE,8600,9600,10400,1.0,UPI,4,11500
DN-10290,TIER_1,INDEPENDENT_HOUSE,2500,2800,3100,1.0,UPI,1,3250
DN-10291,TIER_1,INDEPENDENT_HOUSE,2450,2600,2750,1.0,UPI,2,3000
DN-10292,TIER_2,APARTMENT_FLAT,850,900,1000,1.0,UPI,2,1150
DN-10293,TIER_2,APARTMENT_FLAT,1100,1150,1200,1.0,UPI,4,1350
DN-10294,TIER_1,APARTMENT_FLAT,0,1700,1900,0.7,UPI,2,1850
DN-10295,TIER_2,CLINIC_PROFESSIONAL,1250,1400,1500,1.0,CASH,4,1600
DN-10296,TIER_1,INDEPENDENT_HOUSE,10250,11250,12800,0.9,UPI,2,14300
DN-10297,TIER_1,APARTMENT_FLAT,1700,1850,2000,1.0,CASH,2,2100
